Series	baf	TPR	FDR
[MQ 16] Local	0.1	0.895702414054186	3.6624871584044e-07
[MQ 16] Thesaurus	0.1	0.892046625087425	3.67749677207721e-07
[MQ 16] Local	0.2	0.895623682059209	3.66280911819702e-07
[MQ 16] Thesaurus	0.2	0.892030222588472	3.67756439323313e-07
[MQ 16] Local	0.3	0.895326468778171	3.66402502675654e-07
[MQ 16] Thesaurus	0.3	0.891957395493118	3.67786466120062e-07
[MQ 16] Local	0.4	0.894198632950127	3.66864639054722e-07
[MQ 16] Thesaurus	0.4	0.891517808521164	3.67967813119451e-07
[MQ 16] Local	0.5	0.000569494763666234	0.000575705238917674
[MQ 16] Thesaurus	0.5	0.00342352958157881	9.58129730765546e-05
[MQ 16] Local	0.6	3.28049979070411e-05	0.0099009900990099
[MQ 16] Thesaurus	0.6	0.000368072076517001	0.000890471950133571
[MQ 1] Local	0.1	0.9666865246254	0.0577973857316751
[MQ 1] Thesaurus	0.1	0.971144067741008	5.74252348776555e-06
[MQ 1] Local	0.2	0.954435170107036	0.0325683779654282
[MQ 1] Thesaurus	0.2	0.971069928445739	1.68911329322027e-06
[MQ 1] Local	0.3	0.929459413000489	0.00805623504838607
[MQ 1] Thesaurus	0.3	0.970686766070184	3.37956465124076e-07
[MQ 1] Local	0.4	0.912020276113106	0.000551828565738241
[MQ 1] Thesaurus	0.4	0.969300426858633	3.38439826244993e-07
[MQ 1] Local	0.5	0.00142176860929116	0.00527886160201974
[MQ 1] Thesaurus	0.5	0.00878386623958933	3.73454830638234e-05
[MQ 1] Local	0.6	3.80537975721677e-05	0.00854700854700855
[MQ 1] Thesaurus	0.6	0.000819468847717887	0.00040016006402561
